Portas;Bloco_Publico;Bloco_Privado
39328 - 41343;186.248.165.192;100.66.1.48
39328 - 41343;186.248.165.193;100.66.1.49
39328 - 41343;186.248.165.194;100.66.1.50
39328 - 41343;186.248.165.195;100.66.1.51
39328 - 41343;186.248.165.196;100.66.1.52
39328 - 41343;186.248.165.197;100.66.1.53
39328 - 41343;186.248.165.198;100.66.1.54
39328 - 41343;186.248.165.199;100.66.1.55
39328 - 41343;186.248.165.200;100.66.1.56
39328 - 41343;186.248.165.201;100.66.1.57
39328 - 41343;186.248.165.202;100.66.1.58
39328 - 41343;186.248.165.203;100.66.1.59
39328 - 41343;186.248.165.204;100.66.1.60
39328 - 41343;186.248.165.205;100.66.1.61
39328 - 41343;186.248.165.206;100.66.1.62
39328 - 41343;186.248.165.207;100.66.1.63
41344 - 43359;186.248.165.192;100.66.1.64
41344 - 43359;186.248.165.193;100.66.1.65
41344 - 43359;186.248.165.194;100.66.1.66
41344 - 43359;186.248.165.195;100.66.1.67
41344 - 43359;186.248.165.196;100.66.1.68
41344 - 43359;186.248.165.197;100.66.1.69
41344 - 43359;186.248.165.198;100.66.1.70
41344 - 43359;186.248.165.199;100.66.1.71
41344 - 43359;186.248.165.200;100.66.1.72
41344 - 43359;186.248.165.201;100.66.1.73
41344 - 43359;186.248.165.202;100.66.1.74
41344 - 43359;186.248.165.203;100.66.1.75
41344 - 43359;186.248.165.204;100.66.1.76
41344 - 43359;186.248.165.205;100.66.1.77
41344 - 43359;186.248.165.206;100.66.1.78
41344 - 43359;186.248.165.207;100.66.1.79
43360 - 45375;186.248.165.192;100.66.1.80
43360 - 45375;186.248.165.193;100.66.1.81
43360 - 45375;186.248.165.194;100.66.1.82
43360 - 45375;186.248.165.195;100.66.1.83
43360 - 45375;186.248.165.196;100.66.1.84
43360 - 45375;186.248.165.197;100.66.1.85
43360 - 45375;186.248.165.198;100.66.1.86
43360 - 45375;186.248.165.199;100.66.1.87
43360 - 45375;186.248.165.200;100.66.1.88
43360 - 45375;186.248.165.201;100.66.1.89
43360 - 45375;186.248.165.202;100.66.1.90
43360 - 45375;186.248.165.203;100.66.1.91
43360 - 45375;186.248.165.204;100.66.1.92
43360 - 45375;186.248.165.205;100.66.1.93
43360 - 45375;186.248.165.206;100.66.1.94
43360 - 45375;186.248.165.207;100.66.1.95
45376 - 47391;186.248.165.192;100.66.1.96
45376 - 47391;186.248.165.193;100.66.1.97
45376 - 47391;186.248.165.194;100.66.1.98
45376 - 47391;186.248.165.195;100.66.1.99
45376 - 47391;186.248.165.196;100.66.1.100
45376 - 47391;186.248.165.197;100.66.1.101
45376 - 47391;186.248.165.198;100.66.1.102
45376 - 47391;186.248.165.199;100.66.1.103
45376 - 47391;186.248.165.200;100.66.1.104
45376 - 47391;186.248.165.201;100.66.1.105
45376 - 47391;186.248.165.202;100.66.1.106
45376 - 47391;186.248.165.203;100.66.1.107
45376 - 47391;186.248.165.204;100.66.1.108
45376 - 47391;186.248.165.205;100.66.1.109
45376 - 47391;186.248.165.206;100.66.1.110
45376 - 47391;186.248.165.207;100.66.1.111
47392 - 49407;186.248.165.192;100.66.1.112
47392 - 49407;186.248.165.193;100.66.1.113
47392 - 49407;186.248.165.194;100.66.1.114
47392 - 49407;186.248.165.195;100.66.1.115
47392 - 49407;186.248.165.196;100.66.1.116
47392 - 49407;186.248.165.197;100.66.1.117
47392 - 49407;186.248.165.198;100.66.1.118
47392 - 49407;186.248.165.199;100.66.1.119
47392 - 49407;186.248.165.200;100.66.1.120
47392 - 49407;186.248.165.201;100.66.1.121
47392 - 49407;186.248.165.202;100.66.1.122
47392 - 49407;186.248.165.203;100.66.1.123
47392 - 49407;186.248.165.204;100.66.1.124
47392 - 49407;186.248.165.205;100.66.1.125
47392 - 49407;186.248.165.206;100.66.1.126
47392 - 49407;186.248.165.207;100.66.1.127
49408 - 51423;186.248.165.192;100.66.1.128
49408 - 51423;186.248.165.193;100.66.1.129
49408 - 51423;186.248.165.194;100.66.1.130
49408 - 51423;186.248.165.195;100.66.1.131
49408 - 51423;186.248.165.196;100.66.1.132
49408 - 51423;186.248.165.197;100.66.1.133
49408 - 51423;186.248.165.198;100.66.1.134
49408 - 51423;186.248.165.199;100.66.1.135
49408 - 51423;186.248.165.200;100.66.1.136
49408 - 51423;186.248.165.201;100.66.1.137
49408 - 51423;186.248.165.202;100.66.1.138
